TÓM TẮT LOGS TRONG QUÁ TRÌNH DATA CLEANING
Item: 969 values standardized to 'Unknown' (9.69%)
Payment Method: 3178 values standardized to 'Unknown' (31.78%)
Location: 3961 values standardized to 'Unknown' (39.61%)
Transaction Date: 460 missing or invalid values (4.60%)
TXN_4271903 | Total Spent Recalculated | 4.0 x 1.0
TXN_6306655 | Total Spent Recalculated | 4.0 x 1.0
TXN_1546695 | Total Spent Recalculated | 5.0 x 2.0
TXN_3195132 | Total Spent Recalculated | 4.0 x 5.0
TXN_5785600 | Total Spent Recalculated | 5.0 x 5.0
TXN_4638629 | Total Spent Recalculated | 4.0 x 4.0
TXN_1185118 | Total Spent Recalculated | 5.0 x 3.0
TXN_6843517 | Total Spent Recalculated | 5.0 x 4.0
TXN_4987246 | Total Spent Recalculated | 3.0 x 1.0
TXN_1339457 | Total Spent Recalculated | 3.0 x 4.0
TXN_8936782 | Total Spent Recalculated | 5.0 x 3.0
TXN_8837886 | Total Spent Recalculated | 3.0 x 4.0
TXN_4468830 | Total Spent Recalculated | 4.0 x 4.0
TXN_5764993 | Total Spent Recalculated | 3.0 x 5.0
TXN_8900751 | Total Spent Recalculated | 1.0 x 4.0
TXN_9293417 | Total Spent Recalculated | 3.0 x 1.5
TXN_9744862 | Total Spent Recalculated | 4.0 x 3.0
TXN_6365371 | Total Spent Recalculated | 2.0 x 4.0
TXN_9104535 | Total Spent Recalculated | 4.0 x 3.0
TXN_9617421 | Total Spent Recalculated | 1.0 x 1.5
TXN_4522012 | Total Spent Recalculated | 2.0 x 2.0
TXN_2982163 | Total Spent Recalculated | 4.0 x 2.0
TXN_2631671 | Total Spent Recalculated | 1.0 x 1.0
TXN_1996318 | Total Spent Recalculated | 5.0 x 3.0
TXN_3599473 | Total Spent Recalculated | 2.0 x 2.0
TXN_8669012 | Total Spent Recalculated | 3.0 x 1.5
TXN_6259001 | Total Spent Recalculated | 4.0 x 1.5
TXN_9181144 | Total Spent Recalculated | 3.0 x 3.0
TXN_6490609 | Total Spent Recalculated | 4.0 x 5.0
TXN_5875661 | Total Spent Recalculated | 3.0 x 4.0
TXN_4242676 | Total Spent Recalculated | 5.0 x 2.0
TXN_2092306 | Total Spent Recalculated | 4.0 x 3.0
TXN_4483304 | Total Spent Recalculated | 4.0 x 4.0
TXN_9601220 | Total Spent Recalculated | 3.0 x 1.0
TXN_8961155 | Total Spent Recalculated | 5.0 x 3.0
TXN_1523567 | Total Spent Recalculated | 3.0 x 5.0
TXN_3879110 | Total Spent Recalculated | 4.0 x 1.0
TXN_8800818 | Total Spent Recalculated | 2.0 x 3.0
TXN_8122340 | Total Spent Recalculated | 4.0 x 2.0
TXN_4355766 | Total Spent Recalculated | 5.0 x 1.0
TXN_5837801 | Total Spent Recalculated | 1.0 x 5.0
TXN_3429942 | Total Spent Recalculated | 3.0 x 4.0
TXN_5268025 | Total Spent Recalculated | 5.0 x 1.0
TXN_9952441 | Total Spent Recalculated | 1.0 x 4.0
TXN_6670607 | Total Spent Recalculated | 5.0 x 3.0
TXN_4995910 | Total Spent Recalculated | 5.0 x 3.0
TXN_8121601 | Total Spent Recalculated | 4.0 x 3.0
TXN_3995843 | Total Spent Recalculated | 3.0 x 4.0
TXN_7323833 | Total Spent Recalculated | 3.0 x 4.0
TXN_9835620 | Total Spent Recalculated | 2.0 x 3.0
TXN_2505327 | Total Spent Recalculated | 2.0 x 3.0
TXN_7008306 | Total Spent Recalculated | 2.0 x 5.0
TXN_4258943 | Total Spent Recalculated | 2.0 x 4.0
TXN_4674417 | Total Spent Recalculated | 5.0 x 1.0
TXN_4791105 | Total Spent Recalculated | 3.0 x 4.0
TXN_6530886 | Total Spent Recalculated | 1.0 x 2.0
TXN_3999554 | Total Spent Recalculated | 1.0 x 2.0
TXN_9942247 | Total Spent Recalculated | 2.0 x 2.0
TXN_4847617 | Total Spent Recalculated | 4.0 x 4.0
TXN_9682798 | Total Spent Recalculated | 3.0 x 3.0
TXN_7827797 | Total Spent Recalculated | 3.0 x 5.0
TXN_4364374 | Total Spent Recalculated | 2.0 x 4.0
TXN_9352671 | Total Spent Recalculated | 2.0 x 4.0
TXN_1778597 | Total Spent Recalculated | 3.0 x 1.0
TXN_6957331 | Total Spent Recalculated | 3.0 x 3.0
TXN_5001766 | Total Spent Recalculated | 1.0 x 4.0
TXN_3321611 | Total Spent Recalculated | 3.0 x 4.0
TXN_5910268 | Total Spent Recalculated | 4.0 x 5.0
TXN_2391659 | Total Spent Recalculated | 5.0 x 1.5
TXN_2172960 | Total Spent Recalculated | 1.0 x 4.0
TXN_4163149 | Total Spent Recalculated | 1.0 x 5.0
TXN_6392156 | Total Spent Recalculated | 5.0 x 1.0
TXN_4528664 | Total Spent Recalculated | 3.0 x 5.0
TXN_6004967 | Total Spent Recalculated | 4.0 x 5.0
TXN_5982786 | Total Spent Recalculated | 4.0 x 3.0
TXN_6431703 | Total Spent Recalculated | 1.0 x 4.0
TXN_1980303 | Total Spent Recalculated | 3.0 x 1.5
TXN_8612901 | Total Spent Recalculated | 3.0 x 3.0
TXN_2797925 | Total Spent Recalculated | 2.0 x 3.0
TXN_1068317 | Total Spent Recalculated | 3.0 x 3.0
TXN_6224451 | Total Spent Recalculated | 1.0 x 4.0
TXN_7932127 | Total Spent Recalculated | 3.0 x 2.0
TXN_5664982 | Total Spent Recalculated | 5.0 x 1.5
TXN_2224251 | Total Spent Recalculated | 4.0 x 3.0
TXN_8622404 | Total Spent Recalculated | 3.0 x 1.0
TXN_1152249 | Total Spent Recalculated | 3.0 x 4.0
TXN_9910573 | Total Spent Recalculated | 2.0 x 5.0
TXN_2465074 | Total Spent Recalculated | 1.0 x 4.0
TXN_1784150 | Total Spent Recalculated | 3.0 x 1.0
TXN_2693108 | Total Spent Recalculated | 3.0 x 1.0
TXN_7975336 | Total Spent Recalculated | 5.0 x 1.5
TXN_6068564 | Total Spent Recalculated | 4.0 x 3.0
TXN_1118799 | Total Spent Recalculated | 4.0 x 4.0
TXN_9926931 | Total Spent Recalculated | 5.0 x 1.0
TXN_1720329 | Total Spent Recalculated | 2.0 x 1.0
TXN_1122700 | Total Spent Recalculated | 5.0 x 5.0
TXN_5743519 | Total Spent Recalculated | 2.0 x 4.0
TXN_3643361 | Total Spent Recalculated | 1.0 x 1.5
TXN_6148776 | Total Spent Recalculated | 5.0 x 2.0
TXN_9875865 | Total Spent Recalculated | 3.0 x 1.0
TXN_7997704 | Total Spent Recalculated | 2.0 x 4.0
TXN_3067609 | Total Spent Recalculated | 4.0 x 5.0
TXN_7402573 | Total Spent Recalculated | 4.0 x 4.0
TXN_5352739 | Total Spent Recalculated | 4.0 x 4.0
TXN_7387056 | Total Spent Recalculated | 4.0 x 3.0
TXN_6119612 | Total Spent Recalculated | 3.0 x 3.0
TXN_7538763 | Total Spent Recalculated | 1.0 x 4.0
TXN_1452253 | Total Spent Recalculated | 2.0 x 4.0
TXN_6387334 | Total Spent Recalculated | 5.0 x 4.0
TXN_5373441 | Total Spent Recalculated | 1.0 x 5.0
TXN_8680875 | Total Spent Recalculated | 2.0 x 1.5
TXN_7499330 | Total Spent Recalculated | 1.0 x 1.0
TXN_1475403 | Total Spent Recalculated | 1.0 x 1.0
TXN_6905794 | Total Spent Recalculated | 1.0 x 5.0
TXN_1951166 | Total Spent Recalculated | 2.0 x 1.5
TXN_5551020 | Total Spent Recalculated | 2.0 x 4.0
TXN_3227673 | Total Spent Recalculated | 1.0 x 1.0
TXN_5808539 | Total Spent Recalculated | 1.0 x 4.0
TXN_7268802 | Total Spent Recalculated | 2.0 x 5.0
TXN_1842981 | Total Spent Recalculated | 5.0 x 1.5
TXN_1769882 | Total Spent Recalculated | 3.0 x 3.0
TXN_9090433 | Total Spent Recalculated | 2.0 x 1.0
TXN_9811033 | Total Spent Recalculated | 3.0 x 1.0
TXN_4570750 | Total Spent Recalculated | 1.0 x 2.0
TXN_4153132 | Total Spent Recalculated | 3.0 x 5.0
TXN_7266318 | Total Spent Recalculated | 1.0 x 4.0
TXN_4268051 | Total Spent Recalculated | 1.0 x 1.0
TXN_6779763 | Total Spent Recalculated | 1.0 x 1.0
TXN_7897119 | Total Spent Recalculated | 4.0 x 3.0
TXN_9135433 | Total Spent Recalculated | 4.0 x 1.0
TXN_5048650 | Total Spent Recalculated | 2.0 x 4.0
TXN_6181456 | Total Spent Recalculated | 1.0 x 1.0
TXN_4580084 | Total Spent Recalculated | 5.0 x 4.0
TXN_1817076 | Total Spent Recalculated | 3.0 x 3.0
TXN_2946861 | Total Spent Recalculated | 3.0 x 3.0
TXN_7677750 | Total Spent Recalculated | 2.0 x 1.5
TXN_7792223 | Total Spent Recalculated | 3.0 x 4.0
TXN_4969003 | Total Spent Recalculated | 1.0 x 1.0
TXN_7565447 | Total Spent Recalculated | 1.0 x 5.0
TXN_2282319 | Total Spent Recalculated | 2.0 x 3.0
TXN_6200609 | Total Spent Recalculated | 5.0 x 5.0
TXN_5392630 | Total Spent Recalculated | 5.0 x 3.0
TXN_9480851 | Total Spent Recalculated | 3.0 x 3.0
TXN_1586452 | Total Spent Recalculated | 2.0 x 5.0
TXN_4504141 | Total Spent Recalculated | 5.0 x 4.0
TXN_5926025 | Total Spent Recalculated | 2.0 x 4.0
TXN_4672332 | Total Spent Recalculated | 4.0 x 3.0
TXN_2103018 | Total Spent Recalculated | 5.0 x 3.0
TXN_9531434 | Total Spent Recalculated | 1.0 x 1.0
TXN_8589003 | Total Spent Recalculated | 4.0 x 1.5
TXN_1547717 | Total Spent Recalculated | 5.0 x 4.0
TXN_9363990 | Total Spent Recalculated | 3.0 x 3.0
TXN_1495371 | Total Spent Recalculated | 2.0 x 4.0
TXN_3072565 | Total Spent Recalculated | 3.0 x 3.0
TXN_1887250 | Total Spent Recalculated | 3.0 x 1.5
TXN_9081409 | Total Spent Recalculated | 1.0 x 3.0
TXN_6900182 | Total Spent Recalculated | 3.0 x 4.0
TXN_3489721 | Total Spent Recalculated | 3.0 x 2.0
TXN_8286164 | Total Spent Recalculated | 1.0 x 4.0
TXN_3033598 | Total Spent Recalculated | 5.0 x 4.0
TXN_6534833 | Total Spent Recalculated | 4.0 x 5.0
TXN_9005782 | Total Spent Recalculated | 4.0 x 1.5
TXN_6091543 | Total Spent Recalculated | 3.0 x 2.0
TXN_2653400 | Total Spent Recalculated | 1.0 x 4.0
TXN_6196052 | Total Spent Recalculated | 5.0 x 4.0
TXN_8408103 | Total Spent Recalculated | 5.0 x 4.0
TXN_8220657 | Total Spent Recalculated | 2.0 x 1.5
TXN_4493874 | Total Spent Recalculated | 5.0 x 1.0
TXN_9989239 | Total Spent Recalculated | 5.0 x 1.5
TXN_7694326 | Total Spent Recalculated | 5.0 x 2.0
TXN_5863411 | Total Spent Recalculated | 3.0 x 1.0
TXN_1888708 | Total Spent Recalculated | 4.0 x 4.0
TXN_7714378 | Total Spent Recalculated | 2.0 x 4.0
TXN_2761003 | Total Spent Recalculated | 2.0 x 4.0
TXN_4823513 | Total Spent Recalculated | 5.0 x 1.0
TXN_9580673 | Total Spent Recalculated | 2.0 x 3.0
TXN_6824743 | Total Spent Recalculated | 2.0 x 4.0
TXN_1652596 | Total Spent Recalculated | 5.0 x 4.0
TXN_6724554 | Total Spent Recalculated | 3.0 x 1.5
TXN_6476204 | Total Spent Recalculated | 5.0 x 4.0
TXN_5598744 | Total Spent Recalculated | 4.0 x 4.0
TXN_6732096 | Total Spent Recalculated | 2.0 x 4.0
TXN_9640865 | Total Spent Recalculated | 2.0 x 1.0
TXN_6460409 | Total Spent Recalculated | 3.0 x 5.0
TXN_6753977 | Total Spent Recalculated | 3.0 x 1.5
TXN_5061600 | Total Spent Recalculated | 3.0 x 3.0
TXN_1849406 | Total Spent Recalculated | 5.0 x 4.0
TXN_3642052 | Total Spent Recalculated | 1.0 x 3.0
TXN_6655913 | Total Spent Recalculated | 1.0 x 1.0
TXN_4103665 | Total Spent Recalculated | 4.0 x 2.0
TXN_8308356 | Total Spent Recalculated | 1.0 x 4.0
TXN_6550460 | Total Spent Recalculated | 5.0 x 4.0
TXN_6547896 | Total Spent Recalculated | 3.0 x 2.0
TXN_6122423 | Total Spent Recalculated | 4.0 x 5.0
TXN_9699174 | Total Spent Recalculated | 3.0 x 4.0
TXN_1900906 | Total Spent Recalculated | 5.0 x 2.0
TXN_5438422 | Total Spent Recalculated | 3.0 x 4.0
TXN_6055428 | Total Spent Recalculated | 5.0 x 5.0
TXN_3444569 | Total Spent Recalculated | 1.0 x 4.0
TXN_8363628 | Total Spent Recalculated | 1.0 x 5.0
TXN_4832452 | Total Spent Recalculated | 5.0 x 1.5
TXN_2262398 | Total Spent Recalculated | 1.0 x 1.5
TXN_9813095 | Total Spent Recalculated | 2.0 x 3.0
TXN_6888839 | Total Spent Recalculated | 3.0 x 1.5
TXN_1402641 | Total Spent Recalculated | 3.0 x 1.5
TXN_1689024 | Total Spent Recalculated | 5.0 x 2.0
TXN_6884558 | Total Spent Recalculated | 1.0 x 3.0
TXN_2257337 | Total Spent Recalculated | 4.0 x 1.0
TXN_1072678 | Total Spent Recalculated | 2.0 x 3.0
TXN_7768350 | Total Spent Recalculated | 1.0 x 1.0
TXN_9211917 | Total Spent Recalculated | 4.0 x 4.0
TXN_7360979 | Total Spent Recalculated | 1.0 x 4.0
TXN_8047234 | Total Spent Recalculated | 3.0 x 3.0
TXN_7105069 | Total Spent Recalculated | 1.0 x 2.0
TXN_7137256 | Total Spent Recalculated | 2.0 x 4.0
TXN_6830192 | Total Spent Recalculated | 3.0 x 3.0
TXN_6975499 | Total Spent Recalculated | 1.0 x 2.0
TXN_9878237 | Total Spent Recalculated | 1.0 x 3.0
TXN_2153838 | Total Spent Recalculated | 4.0 x 1.5
TXN_8018272 | Total Spent Recalculated | 4.0 x 4.0
TXN_4234636 | Total Spent Recalculated | 1.0 x 4.0
TXN_9773646 | Total Spent Recalculated | 4.0 x 3.0
TXN_3163567 | Total Spent Recalculated | 2.0 x 5.0
TXN_3456057 | Total Spent Recalculated | 1.0 x 4.0
TXN_6323915 | Total Spent Recalculated | 3.0 x 1.5
TXN_4704321 | Total Spent Recalculated | 3.0 x 3.0
TXN_3709117 | Total Spent Recalculated | 5.0 x 4.0
TXN_1464694 | Total Spent Recalculated | 1.0 x 4.0
TXN_3447575 | Total Spent Recalculated | 4.0 x 4.0
TXN_6755874 | Total Spent Recalculated | 3.0 x 4.0
TXN_7777864 | Total Spent Recalculated | 3.0 x 1.0
TXN_7218134 | Total Spent Recalculated | 5.0 x 3.0
TXN_4587806 | Total Spent Recalculated | 4.0 x 1.0
TXN_7735127 | Total Spent Recalculated | 1.0 x 4.0
TXN_4177796 | Total Spent Recalculated | 4.0 x 3.0
TXN_7086603 | Total Spent Recalculated | 4.0 x 3.0
TXN_5213014 | Total Spent Recalculated | 3.0 x 4.0
TXN_1367723 | Total Spent Recalculated | 3.0 x 2.0
TXN_6297375 | Total Spent Recalculated | 5.0 x 2.0
TXN_2917349 | Total Spent Recalculated | 4.0 x 1.5
TXN_1370465 | Total Spent Recalculated | 4.0 x 1.0
TXN_6901619 | Total Spent Recalculated | 2.0 x 1.5
TXN_7847913 | Total Spent Recalculated | 3.0 x 4.0
TXN_3504925 | Total Spent Recalculated | 5.0 x 4.0
TXN_9286019 | Total Spent Recalculated | 4.0 x 4.0
TXN_3896128 | Total Spent Recalculated | 1.0 x 3.0
TXN_6761273 | Total Spent Recalculated | 5.0 x 3.0
TXN_8096618 | Total Spent Recalculated | 4.0 x 2.0
TXN_8901988 | Total Spent Recalculated | 5.0 x 1.5
TXN_5820621 | Total Spent Recalculated | 5.0 x 1.0
TXN_6093955 | Total Spent Recalculated | 5.0 x 1.5
TXN_6325639 | Total Spent Recalculated | 3.0 x 3.0
TXN_1039367 | Total Spent Recalculated | 3.0 x 4.0
TXN_7418562 | Total Spent Recalculated | 4.0 x 4.0
TXN_4477016 | Total Spent Recalculated | 4.0 x 4.0
TXN_8063016 | Total Spent Recalculated | 1.0 x 1.0
TXN_8062811 | Total Spent Recalculated | 2.0 x 2.0
TXN_6684056 | Total Spent Recalculated | 2.0 x 4.0
TXN_2241162 | Total Spent Recalculated | 3.0 x 3.0
TXN_5757196 | Total Spent Recalculated | 5.0 x 3.0
TXN_7062893 | Total Spent Recalculated | 2.0 x 4.0
TXN_1048616 | Total Spent Recalculated | 1.0 x 1.5
TXN_1570632 | Total Spent Recalculated | 5.0 x 4.0
TXN_6869767 | Total Spent Recalculated | 2.0 x 4.0
TXN_6011304 | Total Spent Recalculated | 4.0 x 3.0
TXN_9087746 | Total Spent Recalculated | 4.0 x 2.0
TXN_8567172 | Total Spent Recalculated | 3.0 x 2.0
TXN_4363360 | Total Spent Recalculated | 1.0 x 4.0
TXN_9689507 | Total Spent Recalculated | 3.0 x 5.0
TXN_2673294 | Total Spent Recalculated | 3.0 x 2.0
TXN_8652632 | Total Spent Recalculated | 1.0 x 1.5
TXN_5680687 | Total Spent Recalculated | 4.0 x 5.0
TXN_7657615 | Total Spent Recalculated | 3.0 x 3.0
TXN_1547555 | Total Spent Recalculated | 3.0 x 4.0
TXN_3307518 | Total Spent Recalculated | 5.0 x 3.0
TXN_6773319 | Total Spent Recalculated | 4.0 x 1.5
TXN_8246369 | Total Spent Recalculated | 1.0 x 3.0
TXN_9464961 | Total Spent Recalculated | 4.0 x 4.0
TXN_1149624 | Total Spent Recalculated | 3.0 x 3.0
TXN_5056808 | Total Spent Recalculated | 1.0 x 3.0
TXN_9239309 | Total Spent Recalculated | 4.0 x 5.0
TXN_2090061 | Total Spent Recalculated | 4.0 x 4.0
TXN_1556480 | Total Spent Recalculated | 5.0 x 1.5
TXN_4925291 | Total Spent Recalculated | 2.0 x 4.0
TXN_5931551 | Total Spent Recalculated | 4.0 x 4.0
TXN_2259102 | Total Spent Recalculated | 2.0 x 4.0
TXN_1228474 | Total Spent Recalculated | 4.0 x 4.0
TXN_3222612 | Total Spent Recalculated | 3.0 x 3.0
TXN_8020606 | Total Spent Recalculated | 4.0 x 3.0
TXN_5038122 | Total Spent Recalculated | 1.0 x 5.0
TXN_9284622 | Total Spent Recalculated | 1.0 x 2.0
TXN_7815076 | Total Spent Recalculated | 5.0 x 3.0
TXN_7514047 | Total Spent Recalculated | 1.0 x 5.0
TXN_8829698 | Total Spent Recalculated | 2.0 x 3.0
TXN_9389963 | Total Spent Recalculated | 5.0 x 4.0
TXN_8833319 | Total Spent Recalculated | 1.0 x 5.0
TXN_2104550 | Total Spent Recalculated | 4.0 x 2.0
TXN_2644962 | Total Spent Recalculated | 2.0 x 4.0
TXN_6005707 | Total Spent Recalculated | 4.0 x 3.0
TXN_3440463 | Total Spent Recalculated | 1.0 x 3.0
TXN_6411390 | Total Spent Recalculated | 1.0 x 3.0
TXN_2749862 | Total Spent Recalculated | 4.0 x 5.0
TXN_7293600 | Total Spent Recalculated | 3.0 x 3.0
TXN_1603186 | Total Spent Recalculated | 3.0 x 3.0
TXN_1318238 | Total Spent Recalculated | 1.0 x 4.0
TXN_1254663 | Total Spent Recalculated | 3.0 x 2.0
TXN_4007522 | Total Spent Recalculated | 2.0 x 3.0
TXN_4751689 | Total Spent Recalculated | 5.0 x 4.0
TXN_8488163 | Total Spent Recalculated | 4.0 x 4.0
TXN_5946554 | Total Spent Recalculated | 2.0 x 3.0
TXN_5100941 | Total Spent Recalculated | 5.0 x 1.0
TXN_4597600 | Total Spent Recalculated | 5.0 x 1.0
TXN_2273499 | Total Spent Recalculated | 3.0 x 2.0
TXN_8506937 | Total Spent Recalculated | 1.0 x 5.0
TXN_6532832 | Total Spent Recalculated | 5.0 x 1.0
TXN_3659483 | Total Spent Recalculated | 3.0 x 4.0
TXN_5632556 | Total Spent Recalculated | 4.0 x 3.0
TXN_1108326 | Total Spent Recalculated | 2.0 x 3.0
TXN_8154928 | Total Spent Recalculated | 3.0 x 1.5
TXN_6550707 | Total Spent Recalculated | 1.0 x 2.0
TXN_3811655 | Total Spent Recalculated | 2.0 x 4.0
TXN_7768989 | Total Spent Recalculated | 2.0 x 4.0
TXN_5963316 | Total Spent Recalculated | 2.0 x 1.5
TXN_5950951 | Total Spent Recalculated | 1.0 x 5.0
TXN_6488040 | Total Spent Recalculated | 1.0 x 5.0
TXN_7353685 | Total Spent Recalculated | 2.0 x 4.0
TXN_6683798 | Total Spent Recalculated | 1.0 x 1.0
TXN_3749801 | Total Spent Recalculated | 5.0 x 3.0
TXN_1926712 | Total Spent Recalculated | 5.0 x 2.0
TXN_5672583 | Total Spent Recalculated | 2.0 x 3.0
TXN_2185661 | Total Spent Recalculated | 4.0 x 4.0
TXN_8977555 | Total Spent Recalculated | 2.0 x 3.0
TXN_7775760 | Total Spent Recalculated | 4.0 x 3.0
TXN_7256205 | Total Spent Recalculated | 4.0 x 3.0
TXN_1766527 | Total Spent Recalculated | 4.0 x 5.0
TXN_9705027 | Total Spent Recalculated | 2.0 x 1.0
TXN_1707537 | Total Spent Recalculated | 3.0 x 3.0
TXN_1318943 | Total Spent Recalculated | 2.0 x 2.0
TXN_7039529 | Total Spent Recalculated | 3.0 x 1.0
TXN_4251500 | Total Spent Recalculated | 4.0 x 1.0
TXN_7228322 | Total Spent Recalculated | 1.0 x 1.0
TXN_3098503 | Total Spent Recalculated | 1.0 x 5.0
TXN_8341520 | Total Spent Recalculated | 3.0 x 4.0
TXN_1565027 | Total Spent Recalculated | 3.0 x 1.5
TXN_6960459 | Total Spent Recalculated | 1.0 x 2.0
TXN_4679083 | Total Spent Recalculated | 5.0 x 3.0
TXN_2147706 | Total Spent Recalculated | 5.0 x 3.0
TXN_7167980 | Total Spent Recalculated | 3.0 x 4.0
TXN_4374260 | Total Spent Recalculated | 1.0 x 1.0
TXN_9055374 | Total Spent Recalculated | 1.0 x 4.0
TXN_5313435 | Total Spent Recalculated | 4.0 x 5.0
TXN_6700745 | Total Spent Recalculated | 3.0 x 3.0
TXN_9897215 | Total Spent Recalculated | 3.0 x 3.0
TXN_3786518 | Total Spent Recalculated | 1.0 x 5.0
TXN_9163155 | Total Spent Recalculated | 4.0 x 2.0
TXN_8352416 | Total Spent Recalculated | 1.0 x 5.0
TXN_3703482 | Total Spent Recalculated | 4.0 x 3.0
TXN_2522182 | Total Spent Recalculated | 2.0 x 5.0
TXN_5329431 | Total Spent Recalculated | 3.0 x 4.0
TXN_5106316 | Total Spent Recalculated | 5.0 x 4.0
